ts,cpu_usage_usec,mem_current,pids,anon_bytes
1787392149,26414889,2163286016,115,1037873152
1787392164,36871519,2680647680,229,1098006528
1787392179,205255625,2772901888,131,1204187136
1787392194,339356073,2960371712,244,1403363328
1787392209,421916984,2896121856,131,1352122368
1787392224,616239268,2991136768,149,1354747904
1787392239,1014727537,15358373888,3047,3465318400
1787392254,1452649382,16613003264,795,4099665920
1787392270,1799780200,17926709248,508,5731168256
1787392285,2192519376,18690019328,597,6697586688
1787392300,2611301856,18812895232,627,6905270272
1787392315,3030898057,18847272960,627,6940409856
1787392330,3450224503,18843181056,627,6935662592
1787392345,3872970211,18860298240,627,6953713664
1787392360,4294007935,18843844608,627,6936342528
1787392375,4714431281,18903838720,627,6976335872
1787392390,5133171650,18845077504,627,6937223168
1787392405,5555179117,18878128128,627,7099166720
1787392421,5963859037,19298324480,725,7172997120
1787392436,6392579319,19449245696,612,7124549632
1787392451,6798984674,19828674560,740,7463129088
1787392466,7221987196,19867250688,627,7492964352
1787392481,7641399240,20045701120,642,7686582272
1787392496,8061202040,20018601984,740,7678873600
1787392511,8478501421,20056174592,642,7728467968
1787392526,8900176609,20115537920,642,7788802048
1787392541,9320212133,20166443008,642,8020262912
1787392556,9742370202,20239990784,627,7917473792
1787392572,10150721681,20405899264,740,8107933696
1787392587,10572192655,20468805632,627,8150986752
1787392602,10988439613,20404891648,627,8087445504
1787392617,11407635442,20471463936,627,8179163136
1787392632,11828262131,20495872000,627,8277237760
1787392647,12242063465,20498579456,740,8417595392
1787392662,12654936888,20700270592,740,8777723904
1787392677,13065904585,20657029120,951,8945352704
1787392692,13479278972,20103036928,724,8913031168
1787392707,13898112847,20500332544,612,8891719680
1787392723,14303887745,20516478976,627,9006333952
1787392738,14719295656,20631003136,627,9060782080
1787392753,15141137387,20743413760,627,9126223872
1787392768,15554824803,20750372864,740,9225150464
1787392783,15975704515,20814467072,627,9281630208
1787392798,16394524722,20902285312,642,9384554496
1787392813,16806438939,20644814848,627,9399726080
1787392828,17229265274,20797149184,611,9507733504
1787392843,17634239499,20964233216,740,9595002880
1787392858,18056622980,20445159424,740,9689763840
