ts,cpu_usage_usec,mem_current,pids,anon_bytes
1787382343,33996819,759332864,32,66465792
1787382358,56126442,4100861952,134,182370304
1787382373,73230571,8108584960,134,183164928
1787382388,90013650,11561562112,134,185540608
1787382403,105943862,12143087616,134,185995264
1787382419,121589291,12368044032,134,186392576
1787382434,137552346,14371139584,134,186388480
1787382449,156235789,16190214144,139,440647680
1787382464,188468859,17539076096,162,591302656
1787382479,232402011,19263242240,511,1294180352
1787382494,319558439,19353350144,511,1384353792
1787382509,404142324,19323035648,511,1353519104
1787382524,489135882,19315175424,511,1345953792
1787382539,574691013,19295150080,511,1326493696
1787382554,660307089,19335516160,511,1366630400
1787382569,746195583,19324628992,511,1354371072
1787382584,831352128,19295907840,511,1327063040
1787382599,915060808,19384111104,444,1415344128
1787382614,1022174416,19825467392,366,1757552640
1787382629,1066842279,21334687744,366,1763446784
1787382644,1144127945,23027970048,537,2071957504
1787382660,1225432956,24946974720,1033,2591125504
1787382675,1307443262,26810167296,1669,3065712640
1787382690,1402387995,29205508096,2820,4084486144
1787382705,1498935409,31155654656,3567,5714862080
1787382720,1585325972,31597346816,3597,6153527296
1787382735,1671171274,31495827456,3597,6052261888
1787382750,1756396934,31473074176,3597,6029651968
1787382765,1842249568,31792074752,3597,6347759616
1787382780,1927800539,31721365504,3597,6276907008
1787382795,2013147848,31705772032,3597,6260666368
1787382810,2098896814,31858548736,3545,6415679488
1787382825,2189184311,31899246592,3631,6420361216
1787382840,2274418408,32175792128,3613,6697611264
1787382855,2359821622,32232583168,3613,6753677312
1787382871,2445153037,32249466880,3613,6771281920
1787382886,2531029062,32223961088,3613,6745837568
1787382901,2616694432,32126971904,3613,6647742464
1787382916,2702440088,32256151552,3613,6776995840
1787382931,2787914989,32218996736,3613,6739689472
1787382946,2873249676,32299270144,3613,6820225024
1787382961,2958939437,32364388352,3612,6885945344
1787382976,3044515546,32190357504,3612,6711017472
1787382991,3130360387,32300199936,3612,6820073472
1787383006,3215615200,32399601664,3612,6919692288
1787383021,3301638052,32374165504,3612,6894383104
1787383036,3387227388,32334647296,3612,6855614464
1787383051,3473198444,32404713472,3612,6925389824
1787383066,3558594907,32410533888,3579,6931693568
1787383081,3643731548,32190636032,3527,6714974208
1787383097,3734126059,32480374784,3613,6977302528
1787383112,3820261670,32500408320,3628,6997278720
1787383127,3906381634,32547622912,3628,7043731456
1787383142,3991682052,32672813056,3628,7168163840
1787383157,4076507700,32612732928,3628,7108820992
1787383172,4162713919,32676806656,3628,7172071424
1787383187,4248715113,32711450624,3628,7207276544
1787383202,4333345233,32710189056,3594,7207907328
1787383217,4418362728,32654024704,3594,7150923776
1787383232,4503271293,32674885632,3594,7172358144
1787383247,4589551050,32690049024,3594,7186767872
1787383262,4675079991,32631361536,3561,7129833472
1787383277,4761241684,32677892096,3561,7176425472
