ts,cpu_usage_usec,mem_current,pids,anon_bytes,mem_peak,file_cache
1787731169,229310,25976832,3,21028864,30097408,2396160
1787731184,10246015,29560832,19,23896064,2732773376,2588672
1787731199,21056712,29466624,19,23896064,2732773376,2588672
1787731214,31693161,29474816,19,23900160,2732773376,2588672
1787731229,42732694,29933568,19,23908352,2732773376,2588672
1787731244,52331218,29282304,19,23916544,2732773376,2588672
1787731260,52371972,29347840,19,23912448,2732773376,2588672
1787731275,52402640,29945856,19,23916544,2732773376,2588672
1787731290,52439521,29646848,19,23912448,2732773376,2588672
1787731305,52477863,29241344,19,23908352,2732773376,2588672
1787731320,52513839,29171712,19,23916544,2732773376,2588672
1787731335,52552847,29204480,19,23916544,2732773376,2588672
1787731350,52713351,33644544,19,28094464,2732773376,2588672
1787731365,52750836,34091008,19,28098560,2732773376,2588672
1787731380,52786246,33460224,19,28098560,2732773376,2588672
1787731395,52859491,35598336,19,30064640,2732773376,2588672
1787731410,52885712,35631104,19,30064640,2732773376,2588672
1787731426,52953744,36818944,19,31047680,2732773376,2588672
1787731441,53112695,40099840,19,34652160,2732773376,2588672
1787731456,53193904,42311680,19,36626432,2732773376,2588672
1787731471,53219463,42151936,19,36618240,2732773376,2588672
1787731486,53246055,42418176,19,36618240,2732773376,2588672
1787731501,53272922,41988096,19,36626432,2732773376,2588672
1787731516,53329169,42942464,19,37597184,2732773376,2588672
1787731531,56559442,2754490368,19,2741342208,2759122944,2588672
1787731546,67843457,47353856,19,41553920,2759122944,2588672
1787731561,78572037,47161344,19,41549824,2759122944,2588672
1787731576,89176725,47509504,19,41545728,2759122944,2588672
1787731591,99869189,47284224,19,41545728,2759122944,2588672
1787731606,105973420,47673344,19,41545728,2759122944,2588672
1787731621,106013541,47013888,19,41545728,2759122944,2588672
1787731637,106048491,46968832,19,41549824,2759122944,2588672
1787731652,106089414,46993408,19,41549824,2759122944,2588672
1787731667,106132979,46854144,19,41549824,2759122944,2588672
1787731682,106173325,46886912,19,41549824,2759122944,2588672
1787731697,106251802,49360896,19,43827200,2759122944,2588672
1787731712,106362388,56246272,19,50675712,2759122944,2588672
1787731727,106389004,56025088,19,50679808,2759122944,2588672
1787731742,106480566,60559360,19,55209984,2759122944,2588672
1787731757,106506306,60571648,19,55214080,2759122944,2588672
1787731772,106533178,60653568,19,55214080,2759122944,2588672
1787731787,106647425,67641344,19,62029824,2759122944,2588672
1787731802,106672297,67448832,19,62029824,2759122944,2588672
1787731817,106698387,67637248,19,62025728,2759122944,2588672
1787731833,106723770,67665920,19,62029824,2759122944,2588672
1787731848,106751531,67624960,19,62033920,2759122944,2588672
1787731863,106777819,67821568,19,62029824,2759122944,2588672
1787731878,106802510,67633152,19,62033920,2759122944,2588672
1787731893,106828601,67399680,19,62033920,2759122944,2588672
1787731908,106854228,67559424,19,62033920,2759122944,2588672
1787731923,106880654,67637248,19,62033920,2759122944,2588672
1787731938,106972164,74395648,19,68820992,2759122944,2588672
1787731953,107106462,44421120,3,39260160,2759122944,2588672
1787731968,107133569,44716032,3,39268352,2759122944,2588672
1787731983,121106661,48291840,35,41754624,4748398592,2588672
1787731998,135593638,48336896,35,41754624,4748398592,2588672
1787732013,162116671,48533504,35,42147840,4748398592,2592768
1787732028,185468630,48680960,35,42151936,4748398592,2592768
1787732044,198259010,48594944,35,42156032,4748398592,2592768
1787732059,198288776,48668672,35,42151936,4748398592,2592768
1787732074,198324326,48365568,35,42156032,4748398592,2592768
1787732089,199088933,49291264,35,42995712,4748398592,2592768
1787732104,199118766,49278976,35,42999808,4748398592,2592768
1787732119,199156499,49225728,35,42995712,4748398592,2592768
1787732134,199184056,49307648,35,42995712,4748398592,2592768
1787732149,199868076,50954240,35,44408832,4748398592,2592768
1787732164,200531579,50442240,35,44421120,4748398592,2592768
1787732179,201315533,52518912,35,46530560,4748398592,2592768
1787732194,201347490,53366784,35,46522368,4748398592,2592768
1787732209,201821164,53272576,35,46526464,4748398592,2592768
1787732225,202094088,53428224,35,47091712,4748398592,2592768
1787732240,202121738,53440512,35,47095808,4748398592,2592768
1787732255,202385147,54161408,35,47472640,4748398592,2592768
1787732270,202413239,53895168,35,47472640,4748398592,2592768
1787732285,202906053,53911552,35,47833088,4748398592,2592768
1787732300,202935183,54566912,35,47828992,4748398592,2592768
1787732315,202962782,54386688,35,47824896,4748398592,2592768
1787732330,203424660,54558720,35,47828992,4748398592,2592768
1787732345,203451847,54226944,35,47833088,4748398592,2592768
1787732360,203486023,54165504,35,47833088,4748398592,2592768
1787732375,203512476,54222848,35,47833088,4748398592,2592768
1787732390,204026459,54816768,35,48652288,4748398592,2592768
1787732405,204060796,54951936,35,48656384,4748398592,2592768
1787732421,204087389,54779904,35,48652288,4748398592,2592768
1787732436,204114072,55476224,35,48652288,4748398592,2592768
1787732451,204140080,55181312,35,48656384,4748398592,2592768
1787732466,204481001,55685120,35,49319936,4748398592,2592768
1787732481,204508097,55758848,35,49324032,4748398592,2592768
1787732496,204540944,55775232,35,49328128,4748398592,2592768
1787732511,204916854,55840768,35,49332224,4748398592,2592768
1787732526,204944574,55857152,35,49324032,4748398592,2592768
1787732541,205412169,55914496,35,49328128,4748398592,2592768
1787732556,205447719,55717888,35,49324032,4748398592,2592768
1787732571,205484829,55570432,35,49319936,4748398592,2592768
1787732586,205512059,56225792,35,49324032,4748398592,2592768
1787732601,206151460,56053760,35,49602560,4748398592,2592768
1787732616,206571820,56188928,35,49598464,4748398592,2592768
1787732632,207475078,57503744,35,51265536,4748398592,2592768
1787732647,207503259,57593856,35,51265536,4748398592,2592768
1787732662,207531106,57573376,35,51261440,4748398592,2592768
1787732677,207824045,58486784,35,51585024,4748398592,2592768
1787732692,208677863,57778176,35,51589120,4748398592,2592768
1787732707,209479075,60162048,35,53207040,4748398592,2592768
1787732722,210440397,62902272,35,55656448,4748398592,2592768
1787732737,210887711,63868928,35,57602048,4748398592,2592768
1787732752,210917131,64036864,35,57593856,4748398592,2592768
1787732767,210945719,64131072,35,57597952,4748398592,2592768
1787732782,212401846,64155648,35,57597952,4748398592,2592768
1787732797,212436510,63901696,35,57602048,4748398592,2592768
1787732812,212753675,65806336,35,59236352,4748398592,2592768
1787732828,212779942,65552384,35,59236352,4748398592,2592768
1787732843,214015958,66211840,35,59482112,4748398592,2592768
1787732858,215285361,67063808,35,60780544,4748398592,2592768
1787732873,218040381,71696384,35,68698112,4748398592,2592768
1787732888,218997354,73486336,35,66985984,4748398592,2592768
1787732903,219033393,73986048,35,66985984,4748398592,2592768
1787732918,219072444,73084928,35,66990080,4748398592,2592768
1787732933,219718330,73842688,35,66985984,4748398592,2596864
1787732948,220645579,73601024,35,67190784,4748398592,2596864
1787732963,222748683,74596352,35,67633152,4748398592,2596864
1787732978,223257927,73764864,35,67629056,4748398592,2596864
1787732993,224050534,74092544,35,67624960,4748398592,2596864
1787733009,224639221,73719808,35,67629056,4748398592,2596864
1787733024,224665683,73846784,35,67624960,4748398592,2596864
1787733039,224693070,74412032,35,67620864,4748398592,2596864
1787733054,224719758,73986048,35,67624960,4748398592,2596864
1787733069,225629306,74313728,35,67837952,4748398592,2596864
1787733084,225657425,74010624,35,67837952,4748398592,2596864
1787733099,226163831,74375168,35,67846144,4748398592,2596864
1787733114,226201181,74448896,35,67842048,4748398592,2596864
1787733129,226867246,75583488,35,69279744,4748398592,2596864
1787733144,227527132,79867904,35,73039872,4748398592,2596864
1787733159,227563544,79319040,35,73048064,4748398592,2596864
1787733174,229001796,83468288,35,76742656,4748398592,2596864
1787733189,229831027,88195072,35,81952768,4748398592,2596864
1787733205,233246131,111443968,35,104505344,4748398592,2596864
1787733220,233277463,111095808,35,104509440,4748398592,2596864
1787733235,233305006,110817280,35,104513536,4748398592,2596864
1787733250,234160143,115503104,35,108634112,4748398592,2596864
1787733265,234759404,115314688,35,108630016,4748398592,2596864
1787733280,234786695,115703808,35,108630016,4748398592,2596864
1787733295,234825228,114892800,35,108634112,4748398592,2596864
1787733310,235757958,117125120,35,110477312,4748398592,2596864
1787733325,235794238,117022720,35,110469120,4748398592,2596864
1787733340,236399786,122572800,35,115888128,4748398592,2596864
1787733355,237935007,128065536,35,121307136,4748398592,2596864
1787733370,237964073,127553536,35,121311232,4748398592,2596864
1787733385,238595504,128114688,35,121593856,4748398592,2596864
1787733401,238976101,128008192,35,121589760,4748398592,2596864
1787733416,239864479,127856640,35,121581568,4748398592,2596864
1787733431,240431846,230895616,35,226099200,4748398592,2596864
1787733446,241209558,128073728,35,121778176,4748398592,2596864
1787733461,241235450,128012288,35,121778176,4748398592,2596864
1787733476,241864743,130052096,35,122191872,4748398592,2596864
1787733491,242536711,128913408,35,122195968,4748398592,2596864
1787733506,243477679,129814528,35,123396096,4748398592,2596864
1787733521,244193688,130334720,35,123596800,4748398592,2596864
1787733536,244221866,130076672,35,123604992,4748398592,2596864
1787733551,244252407,130043904,35,123600896,4748398592,2596864
1787733566,245763252,131719168,35,125100032,4748398592,2596864
1787733581,246428197,132816896,35,126128128,4748398592,2600960
1787733597,247444502,137592832,35,131461120,4748398592,2600960
1787733612,247825356,138199040,35,131465216,4748398592,2600960
1787733627,248511175,137990144,35,131469312,4748398592,2600960
1787733642,249358324,138412032,35,131461120,4748398592,2600960
1787733657,249849500,141586432,35,134451200,4748398592,2600960
1787733672,249890148,140857344,35,134451200,4748398592,2600960
1787733687,249918182,140517376,35,134451200,4748398592,2600960
1787733702,250741763,140750848,35,134443008,4748398592,2600960
1787733717,251785898,149544960,35,143224832,4748398592,2600960
1787733732,252919360,149880832,35,143228928,4748398592,2600960
1787733747,253402339,149417984,35,143228928,4748398592,2600960
1787733762,254682184,153600000,35,147017728,4748398592,2600960
1787733778,255032332,153911296,35,147775488,4748398592,2600960
1787733793,255067030,154189824,35,147771392,4748398592,2600960
1787733808,255651101,154591232,35,148078592,4748398592,2600960
1787733823,256325524,154415104,35,148074496,4748398592,2600960
1787733838,256936908,154828800,35,148070400,4748398592,2600960
1787733853,257973922,155230208,35,148226048,4748398592,2600960
1787733868,258002605,154714112,35,148230144,4748398592,2600960
1787733883,258038678,154513408,35,148226048,4748398592,2600960
1787733898,259343853,155078656,35,148226048,4748398592,2600960
1787733913,259753053,154869760,35,148221952,4748398592,2600960
1787733928,259780794,154570752,35,148221952,4748398592,2600960
1787733943,260536731,156475392,35,149504000,4748398592,2600960
1787733958,261298894,156323840,35,150044672,4748398592,2600960
1787733974,261962344,156512256,35,150048768,4748398592,2600960
1787733989,261990257,156315648,35,150044672,4748398592,2600960
1787734004,262399100,156360704,35,150044672,4748398592,2600960
1787734019,263174652,156426240,35,150044672,4748398592,2600960
1787734034,263846217,161734656,35,155136000,4748398592,2600960
1787734049,264662449,161783808,35,155193344,4748398592,2600960
1787734064,264689683,161796096,35,155197440,4748398592,2600960
1787734079,265890025,167645184,35,160968704,4748398592,2600960
1787734094,266687740,167768064,35,161312768,4748398592,2600960
