ts,cpu_usage_usec,mem_current,pids,anon_bytes,mem_peak,file_cache
1787731168,127451767,7996624896,391,6829039616,8671887360,1040310272
1787731183,134924943,8292442112,405,6829449216,8671887360,1326686208
1787731198,146842606,8928747520,405,6829449216,8933318656,1943134208
1787731213,158537120,9519235072,405,6829457408,9523298304,2517508096
1787731228,170864255,10163707904,404,6829445120,10169290752,3144146944
1787731243,285079901,14633684992,2104,7702982656,14638309376,6566305792
1787731259,710214761,14766489600,455,7646560256,14922084352,6808911872
1787731274,1129484635,14776246272,456,7656181760,14922084352,6808911872
1787731289,1548648452,14834958336,457,7715844096,14922084352,6808911872
1787731304,1967630420,14862180352,458,7741804544,14922084352,6808911872
1787731319,2386813049,14847905792,458,7728427008,14939398144,6808911872
1787731334,2806045265,15173160960,458,8074088448,15393144832,6788259840
1787731349,3134691679,14078709760,456,8091271168,15504072704,5716631552
1787731364,3371898488,14024556544,457,8030724096,15504072704,5716631552
1787731379,3609685935,14033289216,457,8038170624,15504072704,5716631552
1787731394,3877301291,14508806144,457,8724750336,15504072704,5511589888
1787731409,4059579340,13378867200,456,8100179968,15504072704,5023105024
1787731425,4262647318,13071372288,455,8149078016,15504072704,4676341760
1787731440,4497593397,12732788736,454,8537128960,15504072704,3959185408
1787731455,4637726502,11214045184,442,8161599488,15504072704,2863857664
1787731470,4698473701,11203674112,442,8151805952,15504072704,2863857664
1787731485,4759126537,11210928128,442,8159125504,15504072704,2863857664
1787731500,4819775347,11209695232,442,8156774400,15504072704,2863857664
1787731515,4903689828,10918047744,442,8222224384,15504072704,2517094400
1787731530,5042644097,11312250880,433,9405546496,15504072704,1750085632
1787731545,5057139147,9890983936,428,8171520000,15504072704,1570598912
1787731560,5068926378,10512171008,428,8171520000,15504072704,2173087744
1787731575,5080086890,11113328640,428,8171511808,15504072704,2758258688
1787731590,5091290614,11728240640,428,8171511808,15504072704,3354914816
1787731605,5293624331,15964839936,2124,8889589760,15985668096,6699380736
1787731620,5713237512,15359799296,457,8238608384,16012128256,6809366528
1787731636,6131407939,15302103040,457,8180711424,16012128256,6809366528
1787731651,6549624970,15303766016,457,8182587392,16012128256,6809366528
1787731666,6967987107,15350431744,458,8227274752,16012128256,6809366528
1787731681,7386851385,15396429824,458,8296275968,16012128256,6788259840
1787731696,7770779552,16070160384,457,9376444416,16248012800,6391713792
1787731711,7987365592,13973516288,456,8362303488,16308822016,5343645696
1787731726,8167093724,14003990528,456,8393293824,16308822016,5343645696
1787731741,8370788296,13486702592,457,8590483456,16308822016,4650119168
1787731756,8491053756,13490212864,457,8594247680,16308822016,4650119168
1787731771,8611326626,13489188864,457,8594247680,16308822016,4650119168
1787731786,8782569998,12548444160,458,8751886336,16308822016,3583606784
1787731801,8843107820,12495716352,458,8698613760,16308822016,3583606784
1787731816,8903650815,12495335424,458,8698605568,16308822016,3583606784
1787731832,8964331180,12498886656,458,8702373888,16308822016,3583606784
1787731847,9024923656,12498169856,458,8702365696,16308822016,3583606784
1787731862,9085493069,12499222528,458,8702377984,16308822016,3583606784
1787731877,9146111131,12522590208,458,8725864448,16308822016,3583606784
1787731892,9206797982,12550410240,458,8755568640,16308822016,3583606784
1787731907,9267424300,12498964480,458,8702377984,16308822016,3583606784
1787731922,9328053394,12495077376,458,8698617856,16308822016,3583606784
1787731937,9464830261,12010209280,457,9284935680,16308822016,2543316992
1787731952,9595337745,11019821056,445,9832443904,16308822016,1051373568
1787731967,9595841521,11019448320,437,9831866368,16308822016,1051373568
1787731982,9598772260,11191422976,446,9831571456,16308822016,1217163264
1787731997,9619242329,12051693568,454,9831882752,16308822016,2052235264
1787732012,9746171616,14301937664,462,9858027520,16308822016,4211576832
1787732027,10075297032,18680119296,1499,10322497536,18686545920,7967465472
1787732043,10487752791,22993010688,1757,10527461376,23072423936,11923673088
1787732058,10905165378,22900015104,532,10249994240,23217565696,12165185536
1787732073,11261960221,22851657728,539,10200907776,23217565696,12165185536
1787732088,11641236599,22987071488,540,10131279872,23217565696,12363747328
1787732103,11987662558,23067422720,544,10216407040,23217565696,12363747328
1787732118,12331306054,23032328192,544,10177622016,23217565696,12363747328
1787732133,12675054497,23096524800,544,10241228800,23217565696,12363747328
1787732148,13032874471,23228665856,654,10292281344,23450906624,12438503424
1787732163,13384490080,22982754304,544,10278285312,23703117824,12221022208
1787732178,13605492671,22851866624,543,10545115136,23703117824,11832336384
1787732193,13767557304,22916464640,547,10609291264,23703117824,11832336384
1787732208,13900490902,23063384064,666,10600259584,23703117824,11981803520
1787732224,14085152813,23088975872,547,10597900288,23703117824,12009951232
1787732239,14319113177,23027359744,546,10536005632,23703117824,12009951232
1787732254,14546477758,23139610624,659,10653720576,23703117824,12000563200
1787732269,14713754206,23091552256,547,10606616576,23703117824,12004634624
1787732284,14841027868,22841819136,647,10344845312,23703117824,12013830144
1787732299,14998035318,22745198592,534,10252275712,23703117824,12017020928
1787732314,15160979771,22783901696,535,10287063040,23703117824,12017020928
1787732329,15323216729,22441271296,535,10143432704,23703117824,11823747072
1787732344,15436526755,22658727936,535,10181279744,23703117824,11998691328
1787732359,15535953272,22618529792,538,10141437952,23703117824,11998691328
1787732374,15634093812,22658600960,538,10181152768,23703117824,11998691328
1787732389,15748372747,22812360704,651,10217902080,23703117824,12107796480
1787732404,15856697613,22839676928,541,10237485056,23703117824,12119633920
1787732419,15956977678,22831976448,541,10229055488,23703117824,12119633920
1787732435,16057008860,22848905216,541,10246537216,23703117824,12119633920
1787732450,16156967315,22858792960,542,10256158720,23703117824,12119633920
1787732465,16269674250,23078076416,654,10443071488,23703117824,12146536448
1787732480,16415683998,22981472256,541,10342277120,23703117824,12154806272
1787732495,16578826716,22962884608,541,10324164608,23703117824,12154806272
1787732510,16712053099,23105290240,654,10480263168,23703117824,12136833024
1787732525,16872942484,23090147328,541,10468577280,23703117824,12137484288
1787732540,17036935139,23056138240,541,10447835136,23703117824,12124938240
1787732555,17159313856,23160467456,541,10455932928,23703117824,12217651200
1787732570,17321250677,23136669696,541,10432872448,23703117824,12217651200
1787732585,17484837183,23127805952,541,10423906304,23703117824,12217651200
1787732600,17644659813,23304032256,654,10635030528,23703117824,12178370560
1787732615,17803376636,23254007808,654,10424745984,23703117824,12335288320
1787732630,18008714132,23070867456,534,10316238848,23703117824,12265902080
1787732646,18276726943,22902685696,534,10175672320,23703117824,12240257024
1787732661,18537139236,22912581632,535,10185613312,23703117824,12240257024
1787732676,18789853632,22856785920,648,10222465024,23703117824,12145664000
1787732691,19019847162,22804537344,535,10205503488,23703117824,12116500480
1787732706,19235694960,23026827264,760,10365403136,23703117824,12168695808
1787732721,19419751839,23176876032,763,10475282432,23703117824,12207546368
1787732736,19630419626,22639042560,542,10359009280,23703117824,11806785536
1787732751,19822358467,22584418304,542,10304393216,23703117824,11806785536
1787732766,20013881239,22591721472,543,10319302656,23703117824,11799633920
1787732781,20194187871,23179317248,653,10461532160,23703117824,12216139776
1787732796,20331683283,23140515840,545,10426658816,23703117824,12226768896
1787732811,20472560358,23201816576,659,10611412992,23703117824,12102750208
1787732826,20607853929,23177580544,549,10582388736,23703117824,12111433728
1787732842,20776479866,23536254976,662,10617626624,23748702208,12421648384
1787732857,20979616858,22794305536,542,10501332992,23821230080,11818811392
1787732872,21287489381,23434997760,653,10922844160,23821230080,12026580992
1787732887,21550935369,23018045440,649,10658107392,23821230080,11878637568
1787732902,21863352742,22996471808,536,10622148608,23821230080,11896619008
1787732917,22193795526,22995976192,536,10622148608,23821230080,11896619008
1787732932,22505833617,23150223360,537,10625290240,23821230080,12043657216
1787732947,22877109577,22961725440,533,10626203648,23821230080,11859128320
1787732962,23275312652,23191658496,644,10737573888,23821230080,11970129920
1787732977,23592232305,23201124352,647,10769649664,23821230080,11949330432
1787732992,23816605275,23281741824,534,10657304576,23821230080,12140838912
1787733007,23975961911,23432818688,651,10759290880,23821230080,12184027136
1787733023,24108263788,23387631616,541,10711900160,23821230080,12191117312
1787733038,24236461004,23388131328,541,10711896064,23821230080,12191117312
1787733053,24365392314,23387951104,541,10711896064,23821230080,12191117312
1787733068,24507286313,23615897600,651,10741047296,23821230080,12379561984
1787733083,24653673359,23657431040,651,10747834368,23821230080,12413136896
1787733098,24841986737,23599439872,538,10699276288,23821230080,12408418304
1787733113,25072557794,23769952256,538,10699288576,23823589376,12572921856
1787733128,25377777734,24083992576,534,10949488640,24159342592,12634677248
1787733143,25691428705,24034598912,651,10771607552,24364077056,12755279872
1787733158,25983038085,24175943680,542,10935873536,24442396672,12736507904
1787733173,26308387996,23953342464,646,10771738624,24503783424,12676997120
1787733188,26637284229,24482869248,646,11207180288,24791461888,12778770432
1787733204,26942473800,24478470144,873,11092381696,24988794880,12866924544
1787733219,27122970945,24528543744,760,11049680896,24988794880,12960043008
1787733234,27278546532,24530608128,541,11069837312,24988794880,12950949888
1787733249,27438324007,24687095808,655,11119841280,24988794880,13050347520
1787733264,27604043102,24552189952,618,10999848960,24988794880,13037039616
1787733279,27813192417,24551358464,538,10975408128,24988794880,13063495680
1787733294,28039506125,24593027072,538,11059904512,24988794880,13027635200
1787733309,28311016696,24253976576,537,11147313152,25020837888,12606853120
1787733324,28580923545,24225337344,537,11147321344,25020837888,12578881536
1787733339,28822737314,24352047104,537,11257638912,25020837888,12594991104
1787733354,29108701901,24121663488,532,11151040512,25020837888,12473823232
1787733369,29453953806,24321843200,532,11086675968,25020837888,12732227584
1787733384,29776214304,24360992768,646,10991894528,25020837888,12858286080
1787733400,30061682341,24509288448,534,11120635904,25020837888,12881301504
1787733415,30311490777,24420651008,650,11165958144,25020837888,12747120640
1787733430,30529524277,24271818752,537,11047235584,25020837888,12726087680
1787733445,30686383072,24250896384,651,10900844544,25020837888,12840955904
1787733460,30820398084,24224276480,541,10869231616,25020837888,12849819648
1787733475,30973705977,24389402624,650,11071098880,25020837888,12809502720
1787733490,31158832475,24546136064,649,11103346688,25020837888,12930060288
1787733505,31342625346,24155860992,763,10941280256,25020837888,12705370112
1787733520,31496804552,24367366144,653,10940129280,25020837888,12915163136
1787733535,31675636686,24323563520,540,10893070336,25020837888,12923580416
1787733550,31866682866,24323915776,540,10893066240,25020837888,12923580416
1787733565,32124208639,23461322752,651,10984263680,25020837888,11994345472
1787733580,32400133923,24006660096,654,11563945984,25020837888,11958767616
1787733596,32708716204,23175774208,544,10898264064,25020837888,11804004352
1787733611,33043940103,23243780096,545,10996776960,25020837888,11787132928
1787733626,33423732218,23782731776,541,11611705344,25020837888,11704569856
1787733641,33736469198,23224066048,536,11327930368,25020837888,11433111552
1787733656,33998875424,23191109632,649,11380604928,25020837888,11344482304
1787733671,34240169536,23181185024,537,11352969216,25020837888,11365957632
1787733686,34501124516,23179960320,538,11352977408,25020837888,11365957632
1787733701,34863427485,23819390976,649,12142436352,25020837888,11213889536
1787733716,35183415649,23784538112,537,12313620480,25020837888,11019657216
1787733731,35439011634,23723384832,541,12155076608,25020837888,11113598976
1787733746,35691973458,23802761216,655,12296822784,25020837888,11048513536
1787733761,35881986547,24085336064,647,12071448576,25020837888,11541741568
1787733776,36056200616,24248156160,763,12145659904,25020837888,11623043072
1787733792,36246709641,23976902656,538,11905449984,25020837888,11603009536
1787733807,36495663933,24087334912,651,11952668672,25020837888,11658702848
1787733822,36711005701,24214081536,541,11861057536,25020837888,11875262464
1787733837,36933155073,24327012352,653,11913740288,25020837888,11928559616
1787733852,37218468905,24387973120,650,11922825216,25020837888,11979186176
1787733867,37449804756,24376139776,537,11898085376,25020837888,11996229632
1787733882,37666954239,24375590912,540,11898343424,25020837888,11996229632
1787733897,37890596858,24400261120,762,11968155648,25020837888,11942682624
1787733912,38175184414,24311865344,537,11906613248,25020837888,11925442560
1787733927,38455303847,24311320576,538,11906613248,25020837888,11925442560
1787733942,38733150398,24284594176,648,11950419968,25020837888,11852541952
1787733957,38986872547,24245071872,648,11953872896,25020837888,11811463168
1787733972,39192623781,24389521408,647,12029575168,25020837888,11877842944
1787733988,39357974811,24351739904,540,11982168064,25020837888,11891380224
1787734003,39537755066,24218308608,654,12045504512,25020837888,11696640000
1787734018,39743332708,24384016384,541,12233719808,25020837888,11678937088
1787734033,39971796937,24615350272,654,12275171328,25020837888,11858378752
1787734048,40177112628,24767254528,651,12216573952,25020837888,12062564352
1787734063,40455057830,24775254016,539,12254724096,25106792448,12036108288
1787734078,40783048558,24715694080,534,12281294848,25162092544,11952984064
