ts,cpu_usage_usec,mem_current,pids,anon_bytes,mem_peak,file_cache
1787726728,274942,32784384,3,23150592,37572608,7266304
1787726743,314689,35913728,4,25075712,40595456,7798784
1787726758,339841,36114432,4,25071616,40595456,7798784
1787726773,364757,35774464,4,25067520,40595456,7798784
1787726788,389396,36061184,4,25071616,41078784,7798784
1787726803,413905,35692544,4,25071616,41078784,7798784
1787726818,438744,35794944,4,25075712,41078784,7798784
1787726833,463810,35340288,4,25071616,41078784,7798784
1787726848,488906,35414016,4,25071616,41078784,7798784
1787726863,520498,36126720,4,25083904,41119744,7979008
1787726878,552030,36757504,4,25137152,41525248,7979008
1787726893,585248,35893248,4,25210880,41525248,7979008
1787726908,620726,36007936,4,25280512,41525248,7979008
1787726923,1601973,235544576,4,45338624,242663424,186769408
1787726939,3800694,393687040,4,40259584,399319040,345493504
1787726954,5096929,375328768,4,26468352,399319040,345493504
1787726969,5143860,376156160,4,26464256,399319040,345493504
1787726984,5183871,375779328,4,26464256,399319040,345493504
1787726999,5223117,376188928,4,26472448,399319040,345493504
1787727014,5270331,376176640,4,26472448,399319040,345493504
1787727029,5310519,375840768,4,26480640,399319040,345493504
1787727044,5348195,375947264,4,26472448,399319040,345493504
1787727059,5389106,376184832,4,26476544,399319040,345493504
1787727074,5431415,375504896,4,26472448,399319040,345493504
1787727090,5478229,376135680,4,26480640,399319040,345493504
1787727105,5520479,376348672,4,26480640,399319040,345493504
1787727120,5559816,376184832,4,26480640,399319040,345493504
1787727135,5675190,380006400,4,30273536,399319040,345497600
1787727150,5856503,388644864,4,39071744,399319040,345497600
1787727165,6469914,408354816,4,59207680,413171712,345497600
1787727180,6714456,410038272,4,60633088,414113792,345497600
1787727195,6743680,410062848,4,60637184,414638080,345497600
1787727210,8375468,853794816,4,474890240,859697152,345497600
1787727225,9935985,854749184,4,476856320,861634560,345497600
1787727240,11575716,860975104,4,480129024,865316864,345497600
1787727255,13036763,854888448,4,475807744,865316864,345497600
1787727271,14583045,850694144,4,472788992,865316864,345497600
1787727286,16099567,846503936,4,467406848,865316864,345497600
1787727301,17598327,834072576,4,456925184,865316864,341721088
1787727316,19102095,889352192,4,451760128,894423040,403587072
1787727331,20467511,955944960,4,451756032,960606208,471363584
1787727346,21783903,1048289280,4,451772416,1052934144,562589696
1787727361,23039845,1146142720,4,451764224,1151983616,661680128
1787727376,24273975,1254076416,4,451760128,1259290624,771780608
1787727391,25628006,1400893440,4,451772416,1405448192,917495808
1787727406,26860356,1554432000,4,451768320,1559728128,1072947200
1787727421,28159913,1736630272,4,451772416,1740836864,1251561472
1787727436,29327524,1914261504,4,451764224,1918894080,1431400448
1787727452,30472624,2045751296,4,452198400,2050736128,1566605312
1787727467,31617721,2171822080,4,452210688,2175954944,1691230208
1787727482,32788579,2343149568,4,452202496,2348519424,1863983104
1787727497,34017086,2527252480,4,452681728,2531942400,2048180224
1787727512,35194209,2695364608,4,452681728,2699350016,2218246144
1787727527,36473294,2911039488,4,452681728,2920157184,2439671808
1787727542,37774316,2981470208,4,452689920,2986074112,2515697664
1787727557,39133790,2903089152,4,452694016,3026210816,2441527296
1787727572,40574129,2862256128,4,452689920,3026210816,2404638720
1787727587,41035545,2815647744,4,452689920,3026210816,2358280192
1787727603,41082071,2779504640,4,452685824,3026210816,2321842176
1787727618,41121861,2744008704,4,452681728,3026210816,2285928448
1787727633,41272549,2676318208,4,454541312,3026210816,2215673856
1787727648,41313340,2675056640,4,454549504,3026210816,2215673856
1787727663,41360048,2674638848,4,454545408,3026210816,2215673856
1787727678,41409347,2674913280,4,454549504,3026210816,2215673856
1787727693,41454700,2675228672,4,454545408,3026210816,2215673856
1787727708,41530749,2607861760,4,455188480,3026210816,2147516416
1787727723,41579070,2607374336,4,455200768,3026210816,2147516416
1787727738,41705483,2608934912,4,456720384,3026210816,2147516416
1787727754,41788980,2609377280,4,457437184,3026210816,2147516416
1787727769,41833710,2609995776,4,457437184,3026210816,2147516416
1787727784,41879708,2576330752,4,457433088,3026210816,2114224128
1787727799,42060839,2579996672,4,460161024,3026210816,2114224128
1787727814,42100006,2578804736,4,460165120,3026210816,2114224128
1787727829,42145027,2578677760,4,460169216,3026210816,2114224128
1787727844,42206657,2579423232,4,460398592,3026210816,2114224128
1787727859,42248546,2579300352,4,460398592,3026210816,2114224128
1787727874,42325448,2547126272,4,461066240,3026210816,2081456128
1787727889,42406199,2483929088,4,461668352,3026210816,2017492992
1787727905,42473980,2484084736,4,462032896,3026210816,2017497088
1787727920,42530512,2483900416,4,462213120,3026210816,2017497088
1787727935,42577296,2484625408,4,462217216,3026210816,2017497088
1787727950,42617975,2484404224,4,462217216,3026210816,2017497088
1787727965,42661111,2484051968,4,462217216,3026210816,2017497088
1787727980,42754402,2423156736,4,463093760,3026210816,1955631104
1787727995,42799443,2423558144,4,463093760,3026210816,1955631104
1787728010,42846388,2424025088,4,463093760,3026210816,1955631104
1787728025,42883912,2423455744,4,463093760,3026210816,1955631104
1787728040,42993754,2393985024,4,464150528,3026210816,1925484544
1787728056,43075126,2394677248,4,464908288,3026210816,1925484544
1787728071,43117341,2365083648,4,464908288,3026210816,1895600128
1787728086,43212865,2336894976,4,465825792,3026210816,1866371072
1787728101,43253375,2336858112,4,465825792,3026210816,1866371072
1787728116,43338053,2337710080,4,466481152,3026210816,1866371072
1787728131,43377299,2280157184,4,466481152,3026210816,1809223680
1787728146,43516054,2254475264,4,468205568,3026210816,1781174272
1787728161,43555310,2253705216,4,468213760,3026210816,1781174272
1787728176,43603217,2253627392,4,468217856,3026210816,1781174272
1787728191,43737773,2227863552,4,469843968,3026210816,1753649152
