ts,cpu_usage_usec,mem_current,pids,anon_bytes,mem_peak,file_cache
1787726726,34152783,742400000,36,66281472,764919808,619515904
1787726741,53135143,3930566656,106,182226944,3935731712,3624517632
1787726756,70342555,7940960256,106,183033856,7945850880,7561818112
1787726771,87329686,11485347840,106,185528320,11489484800,11037503488
1787726786,103534754,12124090368,106,185995264,12129210368,11651530752
1787726801,119362995,12339765248,106,186396672,12344143872,11850473472
1787726816,135392615,14463315968,106,186392576,14467297280,13940695040
1787726831,154771827,16756097024,112,462188544,16759861248,15890219008
1787726846,183685159,18212524032,85,922140672,18299781120,16846819328
1787726861,212416234,19371298816,257,1935896576,19374657536,16967843840
1787726876,251106427,20829978624,606,3370430464,20834041856,16967852032
1787726891,295092950,22560542720,955,5079588864,22565818368,16967860224
1787726906,345353010,24034197504,1137,6539530240,24195846144,16967864320
1787726921,405711600,25742958592,1458,7627698176,25754238976,17550618624
1787726937,486538267,27473100800,1548,7822630912,27493634048,19043164160
1787726952,846367122,30303277056,2899,9783939072,30520918016,19829264384
1787726967,1309798335,30542401536,2899,10021113856,30700802048,19829264384
1787726982,1774698720,30574665728,2899,10036342784,30754918400,19829264384
1787726997,2239659471,30697680896,2899,10181865472,30754918400,19829264384
1787727012,2703414870,30581293056,2899,10060316672,30754918400,19829264384
1787727027,3169074671,30677143552,2899,10162814976,30787756032,19829264384
1787727042,3634515732,30611038208,2899,10089074688,30787756032,19829264384
1787727057,4099559575,30657720320,2899,10136961024,30787756032,19829264384
1787727073,4564871583,30716608512,2899,10209390592,30787756032,19829264384
1787727088,5031389514,30729023488,2899,10208145408,30811209728,19829264384
1787727103,5498659292,30688739328,2833,10171289600,30867615744,19829264384
1787727118,5964297000,30850920448,2613,10455031808,30919430144,19718111232
1787727133,6429449195,30801182720,2422,10557820928,31153381376,19576471552
1787727148,6895302617,30590607360,1833,11407785984,31234600960,18576711680
1787727163,7330237710,30209683456,1509,12442083328,31234600960,17202987008
1787727178,7414039981,29592424448,1509,11828301824,31234600960,17202987008
1787727194,7456741780,29592408064,1509,11828301824,31234600960,17202987008
1787727209,7521008454,30805430272,1594,11865423872,31234600960,18297737216
1787727224,7590883085,32265707520,1594,11870818304,32271290368,19709120512
1787727239,7661498113,33827061760,1594,11867480064,33835941888,21228507136
1787727254,7757765991,35377676288,1650,12036059136,35390197760,22569164800
1787727269,7835590729,36811235328,1597,12106575872,36818718720,23893987328
1787727284,7952677330,38337605632,1600,12348030976,38341156864,25137598464
1787727299,8039005341,39546208256,1690,12512858112,39655919616,26148925440
1787727314,8201260874,40543719424,1960,12958543872,40546316288,26661896192
1787727329,8518120297,41437970432,2110,13380734976,41513480192,27104911360
1787727344,8895021282,41992814592,2976,14885736448,42307960832,26115612672
1787727359,9284969761,42949550080,3376,15698358272,43050823680,26230763520
1787727374,9686997418,43499126784,3548,16013574144,43810586624,26443878400
1787727389,10066815125,44336234496,3677,16973074432,44521078784,26303520768
1787727405,10473470223,45158694912,4062,17699274752,45331230720,26371256320
1787727420,10889588149,45367201792,4354,18482229248,45560791040,25780482048
1787727435,11325976854,45492256768,4745,18813591552,45667377152,25554046976
1787727450,11763636045,45902700544,5040,19650809856,46140854272,25107677184
1787727465,12197083142,46873223168,5816,20624990208,46955634688,25064685568
1787727480,12625988287,47337754624,6294,21571772416,47503548416,24558129152
1787727495,13054165059,47780691968,6820,22775287808,47997759488,23783268352
1787727510,13479374608,48618848256,8169,24311357440,48829239296,23032819712
1787727525,13902767444,49145479168,9314,25895763968,49305600000,21934182400
1787727540,14327349254,50663047168,11019,27959271424,50949824512,21345615872
1787727556,14749811062,52520898560,12569,30889820160,52589801472,20278009856
1787727571,15166231946,54758481920,14209,33581805568,54823833600,19794464768
1787727586,15583013110,55191040000,15096,35457859584,55442391040,18385944576
1787727601,15997373126,55314595840,15107,35660922880,55466831872,18302726144
1787727616,16411285587,55509463040,15021,35870728192,55651614720,18296016896
1787727631,16828318609,54776037376,14988,36015370240,55724670976,17447112704
1787727646,17243009138,55260790784,14953,36354080768,55724670976,17596510208
1787727661,17658007203,55507681280,14952,36460539904,55724670976,17732857856
1787727676,18072770220,55661092864,14952,36495298560,55729270784,17851711488
1787727691,18485780658,55704657920,14899,36420976640,55828463616,17971585024
1787727707,18902495870,55500115968,14813,36666540032,55872774144,17541513216
1787727722,19319325274,55723212800,14778,37115326464,56081207296,17315696640
1787727737,19735236582,55542624256,14692,37114683392,56081207296,17155010560
1787727752,20150275952,55319982080,14691,37073080320,56081207296,16979431424
1787727767,20563695535,55530631168,14605,37218668544,56081207296,17046757376
1787727782,20983069158,55508197376,14604,37358018560,56081207296,16890953728
1787727797,21400274158,55447851008,14550,37259472896,56081207296,16932868096
1787727812,21812742480,55566237696,14549,37309747200,56081207296,17001037824
1787727827,22226201562,55588114432,14463,37247827968,56081207296,17088360448
1787727843,22640498352,55795539968,14429,37385568256,56148807680,17158631424
1787727858,23054667357,55764688896,14429,37254180864,56148807680,17260281856
1787727873,23469911099,55867498496,14290,37689786368,56286388224,16945758208
1787727888,23886390114,55628914688,14236,37679267840,56364830720,16740982784
1787727903,24302439597,55765471232,14062,37691822080,56364830720,16858759168
1787727918,24717762153,55876415488,14028,37693747200,56364830720,16969752576
1787727933,25131411347,56069537792,14026,37743788032,56364830720,17111801856
1787727948,25546085773,56304349184,13993,37833728000,56408317952,17258459136
1787727963,25960812077,56496877568,13941,37876215808,56561225728,17410572288
1787727978,26377912031,55868329984,13939,37954637824,56734449664,16726355968
1787727994,26791375860,55984828416,13906,37901479936,56734449664,16897224704
1787728009,27205868366,56092901376,13904,37844897792,56734449664,17062944768
1787728024,27620186722,56298975232,13818,37881499648,56734449664,17235808256
1787728039,28038014766,56227655680,13714,37843390464,56734449664,17210175488
1787728054,28453306969,56548851712,13595,38048641024,56749613056,17331519488
1787728069,28866674452,56558772224,13477,38011232256,56753434624,17386442752
1787728084,29282989581,56245923840,13472,37998997504,56852783104,17098223616
1787728099,29695866867,56199208960,13316,37789339648,56852783104,17267908608
1787728114,30109744814,56509399040,13309,38052671488,56852783104,17316638720
1787728130,30522845222,56943763456,13254,38328463360,56947355648,17444192256
1787728145,30941974170,56453623808,13219,38306766848,57197637632,17026519040
1787728160,31355172190,56477093888,13217,38155042816,57197637632,17201750016
1787728175,31768744764,57086291968,13164,38647189504,57197637632,17340248064
1787728190,32184912726,56401076224,13055,38261833728,57205260288,17038381056
1787728205,32600149379,56379527168,13002,38111518720,57205260288,17171570688
1787728220,33020103005,56669741056,12806,38720745472,57205260288,16869519360
1787728235,33434931479,56379092992,12773,38522191872,57205260288,16786001920
1787728250,33848087846,56663814144,12773,38636068864,57205260288,16956686336
1787728265,34263884462,56812720128,12685,38639271936,57205260288,17106157568
1787728281,34678453500,57065934848,12620,38728413184,57205260288,17272045568
1787728296,35095384862,56955281408,12566,38788198400,57531617280,17111805952
1787728311,35511618436,56773685248,12533,38712979456,57531617280,17013727232
1787728326,35924850161,56879353856,12500,38659657728,57531617280,17174437888
1787728341,36339445255,56932098048,12445,38583476224,57531617280,17306951680
1787728356,36753113871,57049608192,12393,38562222080,57531617280,17447768064
1787728371,37170821475,57110945792,12388,38569422848,57531617280,17501818880
1787728386,37584130349,57429315584,12387,38760476672,57531617280,17629302784
1787728401,38001211551,57195319296,12333,38762942464,57722499072,17402601472
1787728416,38417031307,57406836736,12332,38845100032,57722499072,17532370944
1787728432,38829327814,57165398016,12247,38496436224,57722499072,17646059520
1787728447,39244163993,57260064768,12114,38785519616,57824653312,17418969088
1787728462,39657283221,57141350400,12062,38613045248,57824653312,17517387776
1787728477,40071130911,56871804928,11976,38590590976,57824653312,17280671744
1787728492,40487960605,56931119104,11797,38704766976,57824653312,17234993152
1787728507,40904699663,57049296896,11759,38799192064,57824653312,17260900352
1787728522,41318668244,57138954240,11662,38823350272,57824653312,17329307648
1787728537,41736104399,57266024448,11606,39001124864,57824653312,17281495040
1787728552,42154921457,57219252224,11467,39300218880,57824653312,16956416000
1787728567,42577438271,56982798336,11396,39101751296,57824653312,16913694720
1787728583,42994652432,56934588416,11275,39124774912,57824653312,16848347136
1787728598,43408312490,56787988480,11067,39049650176,57824653312,16784666624
1787728613,43828819485,56705396736,10881,39111049216,57824653312,16650702848
1787728628,44243666772,56574345216,10608,39078580224,57824653312,16562548736
1787728643,44656732802,56769343488,10536,39314096128,57824653312,16524034048
1787728658,45070708510,56742838272,10245,39501488128,57824653312,16325476352
1787728673,45496724299,56358715392,10051,39766863872,57824653312,15704879104
1787728688,45923781929,56257884160,9852,40110706688,57824653312,15260041216
1787728703,46346355034,55936761856,9699,39771049984,57824653312,15284862976
1787728718,46765686207,55804891136,9532,40111239168,57824653312,14824656896
1787728734,47175570205,55637688320,9409,40166129664,57824653312,14610698240
1787728749,47576114517,55324020736,9169,40141557760,57824653312,14335246336
1787728764,47985375016,55399321600,8856,40514899968,57824653312,14062764032
1787728779,48405819840,55440318464,8480,40736907264,57824653312,13886619648
1787728794,48816973127,55143030784,8196,41112567808,57824653312,13235027968
1787728809,49224967047,55412228096,7922,41668239360,57824653312,12961067008
1787728824,49601801365,54931451904,7813,41284571136,57824653312,12869492736
1787728839,49962007337,55386148864,7346,42111582208,57824653312,12522917888
1787728854,50362165471,54871101440,7117,41945190400,57824653312,12185063424
1787728869,50777779121,54999322624,6720,42692034560,57824653312,11589365760
1787728884,51173128857,54322839552,6556,42427154432,57824653312,11189624832
1787728900,51571507733,53728489472,6195,42495283200,57824653312,10550550528
1787728915,51987878560,53069357056,5838,42791780352,57824653312,9635946496
1787728930,52306133223,52461797376,5649,42310074368,57824653312,9508184064
1787728945,52600314443,52383674368,5490,42374078464,57824653312,9372917760
1787728960,52944746874,52442456064,5259,42840182784,57824653312,8978468864
1787728975,53298538518,51988795392,4999,42765545472,57824653312,8614981632
1787728990,53669175167,51020263424,4540,42845646848,57824653312,7608320000
1787729005,54018693294,50414968832,4496,42624180224,57824653312,7225139200
1787729020,54265570401,50458513408,4195,43230126080,57824653312,6682030080
1787729035,54540439436,50029690880,3933,43344478208,57824653312,6154956800
1787729050,54840313133,49785085952,3811,43255431168,57824653312,6006648832
1787729066,55101274946,49737175040,3583,43667128320,57824653312,5524013056
1787729081,55412856931,48856272896,3313,43800735744,57824653312,4543533056
1787729096,55724883923,48533905408,3120,44026331136,57824653312,4045557760
1787729111,55931236443,47871029248,2980,43698262016,57824653312,3724951552
1787729126,56158095393,48030527488,2912,44018700288,57824653312,3563409408
1787729141,56321862285,47308959744,2698,44185010176,57824653312,2700161024
1787729156,56402771668,47307014144,2665,44184715264,57824653312,2700161024
1787729171,56482588335,47325712384,2632,44204179456,57824653312,2700161024
1787729186,56562596995,47345635328,2630,44224098304,57824653312,2700161024
1787729201,56641017578,47302496256,2564,44183486464,57824653312,2700161024
1787729216,56730287574,47099019264,2458,44347359232,57824653312,2343411712
1787729231,56834271217,46953488384,2423,44202205184,57824653312,2343411712
1787729246,56932394231,46965653504,2313,44634398720,57824653312,1933553664
1787729261,57065905682,46527729664,2194,44434210816,57824653312,1705103360
1787729276,57162934518,46065606656,2083,44434563072,57824653312,1265254400
1787729292,57216970156,46024179712,2086,44384104448,57824653312,1265254400
1787729307,57259756076,46023974912,2086,44384100352,57824653312,1265254400
1787729322,57302642602,46024339456,2086,44384108544,57824653312,1265254400
1787729337,57345494573,46023933952,2086,44384096256,57824653312,1265254400
1787729352,57388392951,46024052736,2086,44384100352,57824653312,1265254400
1787729367,57431124685,46024138752,2086,44384104448,57824653312,1265254400
1787729382,57474038324,46023933952,2086,44384104448,57824653312,1265254400
1787729397,57516868583,46023634944,2086,44384104448,57824653312,1265254400
1787729412,57559829969,46023819264,2086,44384100352,57824653312,1265254400
1787729427,57602510237,46022836224,2023,44384382976,57824653312,1265442816
1787729442,57639441067,28710371328,1231,27147546624,57824653312,1265438720
1787729457,57666158357,18328801280,740,16814219264,57824653312,1265438720
