ts,cpu_usage_usec,mem_current,pids,anon_bytes
1787640725,24581351,1895829504,115,852537344
1787640740,63441574,2899488768,229,968273920
1787640755,118477888,2939383808,131,968589312
1787640770,349027213,2939449344,131,968617984
1787640785,582293369,3435327488,131,1481986048
1787640800,623053787,4258074624,244,1407176704
1787640815,663950857,4324446208,244,1409474560
1787640830,827517829,4104192000,131,1161297920
1787640845,1055682376,4104314880,131,1161310208
1787640860,1247287246,2279436288,131,1216835584
1787640876,1247771403,2278363136,130,1216831488
1787640891,1248033550,2278391808,130,1216831488
1787640906,1248515138,2278400000,130,1216827392
1787640921,1251569277,2833178624,243,1273516032
1787640936,1285616207,3458383872,358,1342423040
1787640951,1548874954,5653708800,278,1417367552
1787640966,1894696436,8912334848,626,1765494784
1787640981,2228085386,10838966272,361,2177220608
1787640996,2511532823,12210028544,266,2245685248
1787641011,2792063925,13616529408,266,2339938304
1787641026,3108825430,15526834176,379,2431934464
1787641041,3463255190,17047744512,492,2499960832
1787641057,3787288220,18580299776,297,2711564288
1787641072,4126328992,21082611712,522,2930794496
1787641087,4502054278,22826737664,748,3083472896
1787641102,4881038159,24548429824,763,3314544640
1787641117,5265892918,26898132992,891,3579068416
1787641132,5653116869,29412958208,1034,3946160128
1787641147,6061323955,34848522240,1712,4623593472
1787641162,6491339629,37281816576,2052,5017751552
1787641177,6929785228,38534881280,2164,5055295488
1787641192,7363580486,39491551232,2293,5320626176
1787641207,7797009451,40148381696,2293,5524631552
1787641223,8233081758,40968167424,2293,5520031744
1787641238,8672607037,41090600960,2097,5631029248
1787641253,9110719287,41417269248,1999,5854347264
1787641268,9546773023,41531514880,1999,5836156928
1787641283,9981555369,41582886912,1705,5900713984
1787641298,10409974353,41994698752,1102,6290726912
1787641313,10824571219,42408337408,921,6680793088
1787641328,11228376269,41787568128,725,7634063360
1787641343,11613334755,42018803712,612,7554818048
1787641358,11978587971,42326224896,612,7769075712
1787641373,12357413649,42335428608,725,7982374912
1787641388,12743762792,43219001344,838,8036081664
1787641404,13145870899,44259065856,1049,8259903488
1787641419,13558011175,44195774464,936,8248905728
1787641434,13966265835,44127371264,838,8140161024
1787641449,14364778411,43513139200,725,8034525184
1787641464,14732846007,43731767296,612,7928524800
1787641479,15111082996,44266528768,725,8037892096
1787641494,15504629734,44285239296,725,8038191104
1787641509,15900049623,44311719936,731,8042233856
1787641524,16296279207,44321673216,725,8038195200
1787641539,16672605861,44212473856,627,7931019264
1787641554,17048858084,44215234560,627,7931101184
1787641569,17423684390,44264927232,627,7982039040
1787641584,17799189145,44265549824,627,7982039040
1787641600,18173250573,44266315776,627,7982026752
1787641615,18549099018,44268830720,627,7982936064
1787641630,18925160170,44179857408,627,8179302400
1787641645,19290456092,43411619840,626,8039735296
1787641660,19646049684,43187027968,626,8039735296
1787641675,20021311197,43817799680,724,8148217856
1787641690,20402844573,44698693632,936,8338186240
1787641705,20813175169,44833222656,936,8398536704
1787641720,21221656882,44783239168,823,8291594240
1787641735,21628954235,44806307840,823,8319684608
1787641750,22014223576,44093505536,627,8105488384
1787641766,22367012939,44640694272,627,8105496576
1787641781,22763145981,45073133568,838,8315158528
1787641796,23170132254,45133778944,838,8316616704
1787641811,23567442678,45081186304,740,8216727552
1787641826,23945946507,44983906304,642,8106905600
1787641841,24321852162,45238943744,642,8740765696
1787641856,24682439633,43385692160,627,8182181888
1787641871,25032293998,43950690304,612,8180789248
1787641886,25395634157,44321796096,725,8315731968
1787641901,25781339601,44999921664,936,8460505088
1787641916,26189172577,45105381376,936,8503324672
1787641931,26590135189,44972478464,740,8332140544
1787641946,26984582074,44030922752,740,8395554816
1787641962,27373318173,44382277632,740,8395882496
1787641977,27759124399,44563902464,725,8618516480
1787641992,28143469314,44669267968,710,8378494976
1787642007,28534954069,45093916672,823,8550285312
1787642022,28935513226,41663004672,823,8521084928
1787642037,29321143992,41896820736,725,8412692480
1787642052,29705530138,42678648832,725,8417161216
1787642067,30103492608,41351163904,725,8622772224
1787642082,30483793174,41335422976,725,8622759936
1787642097,30869178488,41915281408,725,8491380736
1787642112,31232025459,42286755840,725,8636973056
1787642127,31622178290,42846973952,936,8719974400
1787642143,32026104927,41543258112,936,8721420288
1787642158,32431590431,42314330112,936,8765493248
1787642173,32825917576,41579659264,724,8571248640
1787642188,33203611007,42133790720,612,8423555072
1787642203,33594619721,42178412544,725,8732864512
1787642218,33994675316,42128605184,808,8682459136
1787642233,34397970114,41322045440,808,8686596096
1787642248,34798855836,42448621568,921,8759316480
1787642263,35202967442,42251628544,920,8889065472
1787642278,35605491474,42808135680,921,8883240960
1787642293,36010142323,42348236800,935,8910225408
1787642308,36408035670,41108852736,838,8980127744
1787642323,36779863922,41576828928,627,8782012416
1787642339,37135446406,42553413632,725,8880586752
1787642354,37529617319,42056441856,823,8982474752
1787642369,37930704641,42576666624,921,9322192896
1787642384,38329820130,42312794112,709,9117532160
1787642399,38719900707,43735281664,936,9294090240
1787642414,39123838700,44358475776,1019,9408188416
1787642429,39535524243,44945170432,1132,9534570496
1787642444,39950098908,44920287232,1034,9424515072
1787642459,40360363154,44793712640,838,9228509184
1787642474,40753983478,44549771264,725,9207615488
1787642489,41130913611,43821735936,739,9120788480
1787642504,41513419464,43966853120,740,9121128448
1787642520,41877886535,44262072320,612,9071144960
1787642535,42240841363,43700531200,612,9085423616
1787642550,42595410195,44117221376,724,9224724480
1787642565,42992678814,44546326528,726,9316270080
1787642580,43401312782,44417380352,935,9583071232
1787642595,43810742745,44733886464,936,9583685632
1787642610,44219926292,45061386240,936,9584889856
1787642625,44631438698,45279887360,823,9283035136
1787642640,45033144176,45246726144,725,9176784896
1787642655,45428776277,45308219392,725,9176780800
1787642670,45825797680,45363933184,725,9176780800
1787642685,46199258304,45233307648,627,9064804352
1787642700,46570537003,44287602688,626,9115131904
1787642716,46930975441,44205289472,627,9260634112
1787642731,47281597235,44644737024,612,9113821184
1787642746,47656548003,45349875712,725,9234870272
1787642761,48041030185,45619908608,725,9223372800
1787642776,48416446744,46190096384,612,9516343296
1787642791,48808806698,46030233600,725,9367048192
1787642806,49209459960,46551629824,725,9367826432
1787642821,49613595985,47021965312,823,9471090688
1787642836,50022387946,46978101248,936,9583030272
1787642851,50428498751,46976602112,936,9583775744
1787642866,50821202282,46940344320,725,9195220992
1787642881,51218787563,47433408512,823,9327943680
1787642896,51606928917,45893201920,724,9218543616
1787642912,51982960575,46362312704,627,9109213184
1787642927,52332842468,47171235840,710,9207361536
1787642942,52718822583,47571636224,823,9311797248
1787642957,53116472381,47659438080,823,9312395264
1787642972,53502583358,47500582912,627,9117585408
1787642987,53872565922,47525969920,627,9141284864
1787643002,54240773583,47502409728,627,9141276672
1787643017,54609070711,45884354560,626,9163296768
1787643032,54960286948,44754735104,627,9137221632
1787643047,55306817019,44794540032,612,9135902720
1787643062,55651264386,45382381568,597,9134514176
1787643077,55995725472,45828673536,597,9134518272
1787643092,56355855538,44139905024,595,9243631616
1787643108,56720629128,44095451136,707,9434951680
1787643123,57090831301,44129398784,709,9329156096
1787643138,57461658507,44861960192,709,9300267008
1787643153,57832613395,45096329216,710,9300623360
1787643168,58227667263,46323032064,822,9427386368
1787643183,58631918969,47621939200,1162,9700659200
1787643198,59040350874,48264130560,1372,9883656192
1787643213,59452195051,48830738432,1373,10138914816
1787643228,59862164004,48401711104,1259,10056208384
1787643243,60272127536,48650260480,936,9776021504
1787643258,60676016828,48853864448,793,9569980416
1787643273,61063677797,49836453888,822,9576210432
1787643289,61466423470,49121665024,823,9408851968
1787643304,61867113323,48570634240,823,9409089536
1787643319,62269313494,49154146304,921,9546186752
1787643334,62665256510,48560726016,807,9419468800
1787643349,63055490677,49559769088,725,9285509120
1787643364,63449121645,49183899648,823,9416564736
1787643379,63854058239,49746829312,1049,9577627648
1787643394,64257937248,50087882752,823,9437032448
1787643409,64666655629,50290884608,936,9546604544
1787643424,65074187238,50178113536,838,9721876480
1787643439,65468825928,49621843968,725,9488752640
1787643454,65823755482,49673211904,612,9183711232
1787643470,66207916260,49500000256,725,9795567616
1787643485,66590923043,49600528384,725,9583124480
1787643500,66970918333,49137709056,611,9184653312
1787643515,67322273892,50240208896,726,9298169856
1787643530,67720117912,50492010496,823,9386369024
1787643545,68126675637,50769170432,936,9497387008
1787643560,68534317778,50865741824,936,9497931776
1787643575,68933372855,48949555200,724,9515900928
1787643590,69295143418,49291653120,627,9407246336
1787643605,69644684729,50309787648,725,9488003072
1787643620,70032292603,50049945600,838,9663463424
1787643635,70433527439,50425507840,823,9665814528
1787643650,70833121804,50770464768,823,9650638848
1787643666,71234136621,50281230336,822,9650933760
1787643681,71625395744,50545192960,725,9539899392
1787643696,71999542581,50940096512,740,9553084416
1787643711,72391789455,48705490944,740,9970155520
1787643726,72770362486,49253294080,725,9969111040
1787643741,73141156494,49984176128,725,9728114688
1787643756,73532367090,50602311680,838,9845116928
1787643771,73923489487,50022256640,725,9537060864
1787643786,74310317505,50406051840,710,9535782912
1787643801,74707586205,50646003712,725,9534201856
1787643816,75105334378,50522271744,725,9534201856
1787643831,75495338737,50169516032,725,9534533632
1787643846,75862683773,50500018176,612,9424887808
1787643862,76255014357,50899484672,725,9535283200
1787643877,76651535121,50828853248,725,9535438848
1787643892,77046325719,50877165568,725,9535463424
1787643907,77423794274,50364948480,627,9722867712
1787643922,77776466284,50235604992,627,9571024896
1787643937,78135766947,50753204224,725,9674698752
1787643952,78530362125,50718527488,822,9618575360
1787643967,78932856559,50839670784,823,9620107264
1787643982,79324058284,51207000064,710,9514512384
1787643997,79722302707,49721950208,725,9514291200
1787644012,80110958546,50067759104,725,9514942464
1787644027,80512595423,50654519296,823,9615970304
1787644043,80909280211,50138488832,725,9508245504
1787644058,81277800813,50384187392,627,9407279104
1787644073,81656598746,50735017984,740,9514471424
1787644088,82050867502,49693978624,740,9515036672
1787644103,82433255932,48212381696,626,9407258624
1787644118,82780511741,48818331648,612,9405947904
1787644133,83128005797,49408593920,596,9404542976
1787644148,83479819315,50060513280,710,9497821184
1787644163,83879451713,50599559168,823,9589600256
1787644178,84283882261,50683113472,776,9590472704
1787644193,84666259366,49105313792,627,9407279104
1787644208,85027769171,48541057024,627,9407279104
1787644223,85400222904,49048969216,740,9458053120
