ts,cpu_usage_usec,mem_current,pids,anon_bytes
1787558708,11018476,170659840,32,61018112
1787558723,42416564,1276067840,161,538193920
1787558738,77471124,2793103360,306,1015709696
1787558753,238956202,3788742656,408,1279807488
1787558768,414555200,4138315776,510,1437564928
1787558783,515090281,4159488000,510,1459159040
1787558798,616203128,4151865344,510,1451945984
1787558813,718080951,4146761728,510,1446457344
1787558828,821886950,4165046272,510,1464512512
1787558844,925078687,4159488000,510,1458839552
1787558859,1027087666,4149829632,510,1449918464
1787558874,1128458647,4172275712,510,1472524288
1787558889,1230940142,4178530304,510,1477541888
1787558904,1332314056,4154707968,510,1455521792
1787558919,1431717961,4149624832,477,1450491904
1787558934,1551806085,4203773952,423,1844920320
1787558949,1670686890,4062461952,423,1706352640
1787558964,1770577201,4064137216,423,1706917888
1787558979,1861791898,4062744576,389,1707159552
1787558994,1919873327,4154843136,366,1821655040
1787559009,1962136603,5219614720,366,1821392896
1787559024,2005051166,6321016832,366,1821384704
1787559040,2044713541,7276380160,366,1825075200
1787559055,2083624088,8198152192,366,1825128448
1787559070,2124030881,9182445568,366,1825931264
1787559085,2163155564,10115338240,366,1825165312
1787559100,2201502200,10989621248,366,1825169408
1787559115,2241682154,11963129856,366,1824903168
1787559130,2281171553,12902268928,366,1824948224
1787559145,2321099725,13868740608,366,1824944128
1787559160,2359685063,14775619584,366,1827041280
1787559175,2400198767,15772024832,366,1821929472
1787559190,2439123135,16677826560,366,1828065280
1787559205,2480760781,17722814464,366,1828466688
1787559220,2519929866,18623934464,366,1829113856
1787559235,2576202984,19688538112,468,1988632576
1787559251,2658837048,20876881920,672,2202972160
1787559266,2739292307,21958180864,672,2416336896
1787559281,2817200591,22958379008,759,2461728768
1787559296,2893729741,23987666944,774,2592911360
1787559311,2974757497,25164296192,963,2770751488
1787559326,3050519660,26305150976,978,2957357056
1787559341,3132060179,27308183552,1152,3000733696
1787559356,3213425521,28534022144,1182,3321888768
1787559371,3315734436,29831413760,1549,3713540096
1787559386,3433068659,31539773440,1881,4496986112
1787559401,3536113666,32890662912,2085,4961923072
1787559416,3635637530,34258276352,2361,5341204480
1787559431,3767726551,35897630720,2841,6088323072
1787559447,3901886025,37727899648,3351,7041789952
1787559462,4019041650,38771974144,3600,7809470464
1787559477,4122468420,39021875200,3630,8056631296
1787559492,4223798263,39173492736,3630,8208912384
1787559507,4322615432,39213699072,3630,8248602624
1787559522,4423421576,39238692864,3630,8272977920
1787559537,4522390019,39293022208,3630,8326541312
1787559552,4627769504,39422238720,3630,8455659520
1787559567,4726918010,39534489600,3630,8568688640
1787559582,4827779897,39445737472,3630,8479121408
1787559597,4926163544,39398727680,3630,8434180096
1787559612,5025976720,39578763264,3630,8612696064
1787559627,5125094558,39706038272,3630,8739508224
1787559643,5223730538,39732592640,3630,8765546496
1787559658,5327996334,39754498048,3630,8787542016
1787559673,5426511749,39702102016,3630,8735731712
1787559688,5525069351,39621570560,3630,8654077952
1787559703,5624235909,39805276160,3630,8838586368
1787559718,5723580338,39759839232,3630,8792260608
1787559733,5828042117,39794765824,3630,8827711488
1787559748,5927806349,39761543168,3630,8795226112
1787559763,6026541410,39857250304,3631,8890122240
1787559778,6126049877,39831392256,3630,8864227328
1787559793,6224730364,39922192384,3630,8955084800
1787559808,6323951903,39783825408,3630,8816877568
1787559824,6424463460,39723237376,3630,8756600832
1787559839,6524201892,39805304832,3630,8837754880
1787559854,6628186959,39819689984,3630,8852869120
1787559869,6727937790,39893151744,3630,8925601792
1787559884,6826714821,39684292608,3630,8716955648
1787559899,6930698762,39879028736,3630,8912052224
1787559914,7029051139,39740571648,3630,8773718016
1787559929,7128730316,39829057536,3630,8861315072
1787559944,7228293641,39812440064,3630,8844095488
1787559959,7327239948,39825002496,3630,8857718784
1787559974,7425868245,39836962816,3630,8869335040
1787559989,7524609300,39801524224,3630,8834682880
1787560004,7628589827,39693545472,3630,8725786624
1787560020,7727563062,39924346880,3630,8957120512
1787560035,7825922327,39841513472,3630,8874020864
1787560050,7926055601,39936950272,3630,8970289152
1787560065,8023291031,39909847040,3630,8943222784
1787560080,8122893529,39766872064,3630,8799154176
1787560095,8222374636,39742345216,3630,8775286784
1787560110,8321413004,39789424640,3630,8821653504
1787560125,8425234724,39831367680,3630,8864669696
1787560140,8523414662,39852199936,3630,8885047296
1787560155,8622914155,39801794560,3630,8834129920
1787560170,8726969676,39812403200,3630,8844906496
1787560185,8825469208,39822422016,3630,8855420928
1787560200,8924322444,39813656576,3630,8846901248
1787560216,9023140646,39867699200,3630,8900526080
1787560231,9123289758,39875211264,3630,8907694080
1787560246,9221688240,39823216640,3630,8856367104
1787560261,9322478046,39821107200,3630,8853155840
1787560276,9421566564,39819407360,3630,8851726336
1787560291,9520120830,39757463552,3630,8790122496
1787560306,9620412050,39863914496,3630,8896163840
1787560321,9719278634,39860695040,3630,8893652992
1787560336,9818345129,39815294976,3630,8848789504
1787560351,9921331196,39820177408,3630,8853430272
1787560366,10021401322,39860137984,3630,8893444096
1787560381,10120264242,39829913600,3630,8862433280
1787560397,10220545289,39905484800,3630,8938622976
1787560412,10319824525,39816740864,3630,8849510400
1787560427,10417990540,39812624384,3630,8845443072
1787560442,10516310690,39827394560,3630,8859897856
1787560457,10615424651,39716188160,3630,8749047808
1787560472,10713447595,39890735104,3630,8923439104
1787560487,10811444648,39982833664,3630,9014890496
1787560502,10910572137,39812431872,3630,8845004800
1787560517,11010169430,39834382336,3630,8867241984
1787560532,11108166115,39874736128,3630,8907472896
1787560547,11207284187,39835082752,3630,8868007936
1787560562,11307019685,39830114304,3630,8861827072
1787560577,11404986346,39893069824,3630,8925949952
1787560593,11504386462,39885852672,3630,8919539712
1787560608,11603329289,39855812608,3630,8889208832
1787560623,11702106698,39857106944,3630,8890372096
1787560638,11800496741,39858024448,3630,8891256832
1787560653,11900571123,39764467712,3630,8797589504
1787560668,11999602075,39916470272,3630,8948985856
1787560683,12099600250,39868616704,3630,8901398528
1787560698,12199778114,39811223552,3630,8843563008
1787560713,12299636884,39803330560,3630,8836280320
1787560728,12398800075,39825727488,3630,8858390528
1787560743,12497714096,39880380416,3630,8913084416
1787560758,12597439123,39886626816,3630,8919969792
1787560773,12696898860,39878012928,3630,8910495744
1787560789,12797701387,39932710912,3630,8965451776
1787560804,12896287572,39851163648,3636,8883179520
1787560819,12996627062,39833911296,3630,8866869248
1787560834,13095893104,39942389760,3630,8979341312
1787560849,13195230786,39868809216,3630,8900710400
1787560864,13293536671,39840653312,3630,8873689088
1787560879,13392240300,39883350016,3630,8916598784
1787560894,13493604530,39884161024,3630,8916684800
1787560909,13591456781,39879405568,3630,8912343040
1787560924,13691815124,39905972224,3630,8938778624
1787560939,13790426772,39888105472,3630,8920883200
1787560954,13889148231,39889178624,3630,8921550848
1787560970,13989904892,39847698432,3630,8880902144
1787560985,14087322748,39890403328,3630,8923439104
1787561000,14187355913,39847170048,3630,8880640000
1787561015,14288090638,39826419712,3630,8860004352
1787561030,14387188206,39878373376,3630,8911536128
1787561045,14487537776,39809556480,3630,8840912896
1787561060,14586661237,39843573760,3630,8875827200
1787561075,14685807069,39930294272,3630,8962674688
1787561090,14785875829,39903539200,3630,8935514112
1787561105,14886441030,39892606976,3630,8925499392
1787561120,14986017596,39895453696,3630,8928894976
1787561135,15083686375,39804715008,3630,8837406720
1787561150,15183987431,39896100864,3630,8929415168
1787561166,15283026870,39967694848,3630,8999436288
1787561181,15381572735,39821418496,3630,8853577728
1787561196,15480696266,39854538752,3630,8887463936
1787561211,15580916799,39828828160,3630,8861425664
1787561226,15680799014,39881318400,3630,8914391040
1787561241,15779682528,39940042752,3630,8971808768
1787561256,15878350751,39847587840,3630,8879837184
1787561271,15977009114,39884517376,3630,8918048768
1787561286,16076462167,39905329152,3630,8937615360
1787561301,16175161272,39940673536,3630,8973533184
1787561316,16273834787,40002224128,3630,9035280384
1787561331,16373628678,39874281472,3630,8907227136
1787561346,16471493348,39708172288,3630,8741351424
1787561362,16571220740,39839776768,3630,8872886272
1787561377,16670905990,39895486464,3630,8927768576
1787561392,16769998721,39807627264,3630,8839737344
1787561407,16868719315,39801245696,3630,8834260992
1787561422,16968435258,39803695104,3630,8837050368
1787561437,17066639566,39893843968,3630,8926281728
1787561452,17166802159,39897944064,3630,8930934784
1787561467,17266110396,39939047424,3630,8971309056
1787561482,17366219524,39896186880,3630,8928399360
1787561497,17465104801,39946018816,3630,8978173952
1787561512,17564024520,39941255168,3630,8974675968
1787561527,17663539480,39966121984,3630,8999809024
1787561542,17763238428,39894622208,3628,8928190464
1787561558,17862363853,39921549312,3597,8954978304
1787561573,17961016951,39851053056,3597,8885907456
1787561588,18059562293,39900696576,3597,8934674432
1787561603,18158785024,39920857088,3597,8954916864
1787561618,18258568350,39862349824,3597,8895926272
1787561633,18358719524,39849603072,3597,8883879936
1787561648,18456221299,39816720384,3597,8850268160
1787561663,18555332630,39906795520,3597,8940650496
1787561678,18652873676,39915376640,3597,8949096448
1787561693,18751533261,39820869632,3597,8854659072
1787561708,18854210535,39919439872,3597,8952397824
1787561723,18952988962,39967248384,3597,9001365504
1787561738,19051919773,39822393344,3597,8856186880
1787561754,19151868584,39913213952,3597,8947789824
1787561769,19249323247,39919915008,3597,8953638912
1787561784,19349255674,39916650496,3597,8951435264
1787561799,19447361928,39937961984,3597,8971292672
1787561814,19546987301,39915577344,3596,8949813248
1787561829,19646278275,39919931392,3596,8954208256
1787561844,19744835056,39919353856,3596,8953249792
1787561859,19842574199,39982043136,3596,9015963648
1787561874,19946161655,39980298240,3596,9014116352
1787561889,20044880922,39919996928,3596,8954396672
1787561904,20143081314,39914078208,3596,8947965952
1787561919,20243292072,39917973504,3596,8952528896
1787561935,20342854793,39860551680,3544,8897175552
1787561950,20442998969,39904559104,3544,8939712512
1787561965,20576375915,40082898944,3630,9125138432
1787561980,20680747009,40187281408,3645,9229017088
1787561995,20779531901,40135331840,3645,9179271168
1787562010,20879171808,40188985344,3645,9229725696
1787562025,20977102762,40245338112,3645,9286139904
1787562040,21076994907,40201265152,3645,9242079232
1787562055,21176294416,40257814528,3645,9299787776
1787562070,21277135256,40213774336,3645,9255149568
1787562085,21376344447,40217382912,3645,9258487808
1787562100,21475185929,40176963584,3645,9218138112
1787562115,21574753350,40264642560,3645,9305542656
1787562131,21673244781,40277581824,3612,9319522304
1787562146,21772361042,40241590272,3612,9283338240
1787562161,21871764883,40291450880,3612,9332666368
1787562176,21973102521,40198967296,3579,9241788416
1787562191,22072012349,40211861504,3546,9256824832
1787562206,22171313525,40193093632,3546,9236971520
1787562221,22270182947,40158142464,3546,9202483200
1787562236,22368447187,40222650368,3546,9266278400
1787562251,22467550446,40187035648,3546,9231097856
1787562266,22566461038,40198901760,3546,9243521024
1787562281,22667506358,40234467328,3480,9280679936
1787562296,22764375848,40287195136,3447,9334689792
1787562311,22861474504,40295407616,3447,9342205952
1787562327,22958954450,40260780032,3447,9307504640
1787562342,23055215018,40222289920,3447,9268871168
1787562357,23150495412,40242827264,3380,9292341248
1787562372,23245493035,40180015104,3380,9229205504
1787562387,23342316929,40272936960,3380,9321033728
1787562402,23436623492,40220602368,3379,9270046720
1787562417,23530977400,40253452288,3379,9302147072
1787562432,23627161130,40213266432,3378,9262706688
1787562447,23721816743,40253325312,3378,9302077440
1787562462,23816352745,40270118912,3378,9319665664
1787562477,23910791212,40247148544,3326,9298677760
1787562492,24007130489,40143060992,3325,9194725376
1787562508,24130733298,40254660608,3409,9449689088
1787562523,24226801078,40305733632,3370,9501978624
1787562538,24345109884,40146948096,3369,9594351616
1787562553,24442691677,40526737408,3404,9685032960
1787562568,24567489639,40625131520,3472,10052431872
1787562583,24664900430,40764862464,3454,10191147008
1787562598,24758841043,40760147968,3454,10187702272
1787562613,24855658710,40686944256,3402,10116329472
1787562628,24973653978,40232181760,3351,10015961088
1787562643,25126621152,40299614208,3451,10448281600
1787562658,25227743985,40799809536,3483,10753708032
1787562673,25349313556,40888320000,3517,10684338176
1787562688,25470432536,40939671552,3618,11114754048
1787562704,25568846913,41198460928,3633,11372089344
1787562719,25667761959,41030008832,3600,11205570560
1787562734,25764467764,41236049920,3566,11411750912
1787562749,25861553839,41205112832,3566,11381608448
1787562764,25958286878,41186971648,3566,11363639296
1787562779,26055018358,41274908672,3566,11450318848
1787562794,26151730645,41281933312,3567,11458215936
1787562809,26248602312,41291730944,3565,11468546048
1787562824,26346033304,41303478272,3532,11481128960
1787562839,26442294373,41294036992,3532,11470401536
1787562854,26547330263,41186353152,3478,11734118400
1787562869,26682078852,40974888960,3532,11490701312
1787562884,26777728416,41182515200,3546,11698122752
1787562900,26875975305,41163509760,3545,11678502912
1787562915,26972467557,41161490432,3478,11678273536
1787562930,27069207628,40992464896,3394,11512909824
1787562945,27188669664,40762892288,3480,11691274240
1787562960,27288908979,40814579712,3461,11743608832
1787562975,27384848932,40718249984,3409,11649568768
